,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,77177.0,82969.0,106444.0,95530.0,75944.0,94672.0,82111.0,71399.0,94672.0,101053.0,100464.0,80878.0,82969.0,94522.0,99606.0,99606.0,106444.0,94672.0,94672.0,94672.0,81091.0,99606.0,77177.0,103243.0,82111.0,77177.0,100464.0,82969.0,94672.0,99606.0,94672.0,99606.0,82969.0,77177.0,99231.0,82969.0,87140.0,99606.0,77177.0,94672.0,95578.0,100314.0,99606.0,82969.0,77177.0,99606.0,99606.0,82111.0,99606.0,82969.0,82969.0,100464.0,94672.0,82111.0,99606.0,99606.0,94672.0,99606.0,78035.0,94672.0,94672.0,94672.0,99606.0,94345.0,82111.0,99606.0,100464.0,100464.0,100464.0,100464.0,80878.0,95578.0,78035.0,82969.0,89752.0,100464.0,100464.0,99606.0,88894.0,95530.0,82111.0,82111.0,94672.0,95530.0,104101.0,71399.0,78035.0,106444.0,95530.0,94672.0,82111.0,81736.0,94672.0,78035.0,99606.0,95530.0,99606.0,88519.0,95530.0,100464.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Runtime,141.2042772769928,138.21532773971558,189.53359270095825,194.63320231437683,141.06839203834534,192.09725046157837,139.56209635734558,123.2070779800415,186.4679811000824,209.541743516922,133.58195972442627,95.33376216888428,101.18400359153748,138.4530384540558,129.6285252571106,114.87055277824402,130.46146392822266,133.1139795780182,152.09077787399292,131.9594111442566,105.56734561920166,123.60713362693787,74.85796308517456,137.08339715003967,98.72122812271118,84.56461524963379,175.41022658348083,107.80412411689758,210.70625233650208,200.02558779716492,220.36069416999817,216.8115234375,138.589182138443,165.11863708496094,246.76001000404358,175.09269905090332,177.3270299434662,249.91603136062622,179.12487387657166,265.9375514984131,254.2659239768982,251.56976318359375,261.8188922405243,184.34596729278564,176.95357537269592,254.70270609855652,258.05954360961914,177.31194496154785,251.76201915740967,188.3525230884552,179.62263751029968,254.42787551879883,264.9618067741394,180.27225995063782,262.12473464012146,257.432382106781,267.2763092517853,261.10698437690735,183.3957302570343,270.7868936061859,262.5096707344055,264.362566947937,255.67337489128113,252.89705514907837,181.86665630340576,250.65832614898682,263.9748456478119,255.5544729232788,252.41551089286804,253.06404757499695,172.24096608161926,258.7384178638458,177.9517204761505,180.63177275657654,212.34478569030762,248.97513961791992,263.3126130104065,252.28557658195496,220.37534976005554,264.6357035636902,180.85666728019714,177.42348837852478,260.5374553203583,260.6163561344147,252.64520740509033,150.29465055465698,173.30805039405823,271.85792660713196,258.2008774280548,260.21089243888855,180.72120261192322,175.0106656551361,252.28418636322021,168.55430030822754,233.6226499080658,236.8152732849121,226.74479413032532,204.86284041404724,211.60228276252747,187.24543118476868
