,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,14844.0,25256.0,25661.0,30224.0,34278.0,26997.0,32078.0,25592.0,12173.0,12242.0,25722.0,26414.0,25257.0,36018.0,30407.0,14335.0,25835.0,36018.0,26996.0,12777.0,26928.0,36087.0,32078.0,36375.0,25441.0,26014.0,15427.0,12242.0,11418.0,32430.0,35797.0,33635.0,25835.0,34278.0,26416.0,25659.0,33812.0,33989.0,29778.0,36194.0,32430.0,25188.0,32436.0,25370.0,31989.0,23630.0,21789.0,31895.0,25256.0,26012.0,12707.0,25370.0,32008.0,25480.0,14555.0,27755.0,11883.0,30406.0,12065.0,25907.0,12751.0,27463.0,31965.0,35439.0,33704.0,27393.0,28557.0,31876.0,25730.0,25370.0,28043.0,25723.0,23966.0,35976.0,33635.0,32543.0,11947.0,25303.0,36376.0,34460.0,32009.0,14731.0,32431.0,25372.0,36018.0,26127.0,27393.0,27219.0,36376.0,25370.0,27220.0,36194.0,25945.0,25077.0,24611.0,12242.0,32430.0,35707.0,34170.0,14442.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0
Runtime,8.55368947982788,14.769487619400024,15.093984127044678,18.600298166275024,18.09413743019104,17.384955406188965,19.823057413101196,13.110138177871704,8.472973108291626,8.487755298614502,17.978676080703735,17.82881474494934,18.320283889770508,29.056371688842773,26.230926036834717,11.053708791732788,24.45299196243286,31.093063831329346,25.06851029396057,10.998391389846802,25.215609073638916,28.077463388442993,29.357375383377075,26.173640966415405,22.96150827407837,20.334603786468506,14.086252927780151,11.914801359176636,11.185315370559692,21.243050575256348,20.48181128501892,27.899773359298706,19.502923011779785,28.589210271835327,17.6921648979187,15.375743627548218,25.82349133491516,28.830817699432373,25.644517421722412,25.18014097213745,32.13738822937012,23.58368420600891,29.836391925811768,26.309056758880615,29.08803963661194,23.323166847229004,19.855743169784546,31.2684645652771,25.55864930152893,25.46468472480774,13.236259937286377,25.424996852874756,32.57132005691528,26.17753577232361,14.664318799972534,29.132455110549927,13.79149580001831,32.378117084503174,14.256518363952637,25.624775171279907,13.731731414794922,29.12403106689453,34.12231087684631,34.8720862865448,34.51096749305725,27.836559295654297,28.98833155632019,32.05070209503174,27.817890644073486,24.288115739822388,23.701496601104736,21.817136526107788,17.316269636154175,23.256282806396484,25.130226135253906,23.230528831481934,9.945817470550537,19.652759313583374,19.451335430145264,21.19309401512146,23.5435471534729,10.61152458190918,20.853164196014404,17.897512912750244,23.98566222190857,16.690466165542603,19.099422931671143,19.192546129226685,20.458832025527954,20.401006937026978,19.995478868484497,19.60521912574768,20.44155764579773,17.92899775505066,21.55426812171936,8.888155221939087,27.143020391464233,24.025739192962646,27.857277870178223,11.211942195892334
