,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,74762.0,73998.0,92245.0,61412.0,75445.0,63061.0,55622.0,75445.0,64039.0,66345.0,69829.0,98775.0,87989.0,83791.0,70512.0,70512.0,83791.0,74762.0,74762.0,83791.0,70512.0,68851.0,74762.0,69829.0,75445.0,54939.0,74762.0,70512.0,63061.0,83791.0,88724.0,75445.0,81876.0,74762.0,74762.0,74762.0,88724.0,74762.0,74762.0,75445.0,61411.0,92893.0,89407.0,78931.0,74762.0,76128.0,74762.0,84474.0,83791.0,75445.0,74762.0,73998.0,74762.0,74762.0,82813.0,64722.0,64722.0,69829.0,84474.0,69829.0,70512.0,74762.0,68851.0,89407.0,75445.0,74762.0,74762.0,83791.0,75445.0,84474.0,69829.0,69829.0,74762.0,75445.0,70512.0,69829.0,87312.0,89407.0,87312.0,84474.0,74762.0,64039.0,75445.0,70512.0,88724.0,69829.0,62315.0,79670.0,88724.0,89407.0,74762.0,66345.0,69829.0,69829.0,74762.0,89407.0,78931.0,83791.0,83791.0,75445.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0
Runtime,168.42427134513855,173.02031445503235,231.23305940628052,168.08463144302368,172.87598037719727,147.8170895576477,142.05164980888367,169.8775908946991,141.27772426605225,171.03642177581787,171.88468074798584,275.3586320877075,241.44128394126892,253.333354473114,176.7897047996521,178.3296618461609,257.81825590133667,178.87101006507874,176.94440388679504,250.05076551437378,170.3889741897583,177.66110682487488,182.4684510231018,185.67954635620117,170.91023135185242,151.90708351135254,174.3227355480194,174.3862750530243,149.45669746398926,248.55574917793274,238.4253432750702,170.33507704734802,251.1570463180542,176.3019940853119,181.94107341766357,181.6026861667633,238.16065788269043,176.9739899635315,171.86014485359192,174.1757574081421,173.85643696784973,244.20160055160522,243.45493006706238,175.68746948242188,176.75449919700623,171.76524448394775,173.760178565979,249.22720217704773,253.4290895462036,181.98722529411316,174.53507661819458,176.23665404319763,175.93822741508484,178.2518572807312,257.82940649986267,148.48661947250366,145.9658133983612,177.61306285858154,251.00972890853882,178.77237677574158,179.04618453979492,179.3593146800995,173.43223071098328,247.69599294662476,174.31220531463623,177.62989592552185,173.9239342212677,247.0345094203949,169.9322214126587,241.45368885993958,175.5250370502472,172.67760014533997,170.5137276649475,171.57145619392395,174.52437663078308,170.53745365142822,240.68309926986694,233.63193607330322,240.05999755859375,244.9248411655426,171.96102714538574,146.01169157028198,168.00465369224548,174.17289471626282,239.35879158973694,168.6185495853424,146.37217330932617,206.98465275764465,201.87174654006958,195.54839658737183,153.6430742740631,145.11094903945923,142.82214665412903,145.53609442710876,130.7523217201233,127.53920555114746,98.10807967185974,85.19414377212524,84.36220479011536,56.16428732872009
