,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,11724.0,11386.0,13894.0,13608.0,25653.0,16045.0,13177.0,13196.0,28502.0,25540.0,13294.0,12811.0,16894.0,14962.0,28291.0,26351.0,12928.0,12811.0,26701.0,16411.0,26238.0,34398.0,13177.0,13880.0,15075.0,12811.0,14864.0,25473.0,28676.0,26285.0,12489.0,25750.0,24200.0,13223.0,34206.0,25581.0,13141.0,27270.0,25756.0,26064.0,14475.0,26121.0,35687.0,13008.0,13875.0,26993.0,9995.0,14109.0,13992.0,24819.0,11607.0,14841.0,13008.0,13777.0,13823.0,25536.0,10909.0,12310.0,25540.0,25484.0,11438.0,10257.0,15445.0,26069.0,33574.0,13177.0,27921.0,11100.0,27204.0,13992.0,24842.0,10262.0,16528.0,25715.0,27090.0,11724.0,11555.0,25368.0,12113.0,24180.0,37253.0,25465.0,32819.0,28774.0,12811.0,26182.0,12113.0,37379.0,13294.0,13008.0,27901.0,15445.0,10617.0,36971.0,35687.0,13294.0,8752.0,13875.0,12113.0,12839.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
Runtime,12.295123815536499,12.970384359359741,14.171327114105225,13.256304740905762,26.109057903289795,14.5978684425354,15.013412714004517,14.684812545776367,26.643775939941406,26.196869611740112,12.651142358779907,12.779001474380493,13.085470199584961,13.528355121612549,21.822509288787842,22.76793146133423,12.422025203704834,11.596884727478027,20.853493213653564,10.549025297164917,18.262267351150513,24.08196759223938,10.450287818908691,12.121711254119873,10.178895235061646,9.306554079055786,11.111407041549683,27.507913827896118,31.14680051803589,26.01168966293335,9.98874545097351,27.75709080696106,30.5825936794281,14.099048137664795,46.92635250091553,34.48982620239258,14.457331895828247,41.29132843017578,39.8299765586853,41.58598875999451,21.235930681228638,40.486828565597534,52.10380744934082,22.051825523376465,19.43821692466736,43.746163845062256,18.372153520584106,20.639080286026,19.47543168067932,40.867411613464355,19.75823998451233,21.334474802017212,20.911980628967285,18.9608371257782,21.793590307235718,44.84256362915039,19.625935077667236,21.744019031524658,39.941866636276245,40.842525243759155,16.52731966972351,20.146936416625977,21.632503271102905,40.6224799156189,51.67428660392761,21.29531693458557,41.50319766998291,18.218550443649292,40.98749375343323,20.324747323989868,45.7595055103302,23.13959574699402,22.859036684036255,40.172022581100464,43.08503174781799,18.390827178955078,17.114779949188232,43.77166032791138,21.622072458267212,41.07233905792236,51.929773807525635,41.29529857635498,53.00724697113037,44.88590598106384,23.053855180740356,43.80326271057129,24.499064683914185,52.0697124004364,22.32033634185791,22.00108551979065,41.5361750125885,22.286141633987427,18.821256399154663,43.67191672325134,39.60892367362976,20.284701347351074,16.146945476531982,18.492103099822998,19.561509132385254,18.86009454727173
