,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,86237.0,72638.0,90401.0,87848.0,74327.0,73379.0,87848.0,73664.0,62655.0,73664.0,68731.0,68731.0,86683.0,82252.0,62940.0,67783.0,68731.0,73664.0,68731.0,86900.0,69394.0,73664.0,68731.0,68731.0,73379.0,73664.0,65489.0,73664.0,61992.0,68731.0,87185.0,78234.0,87185.0,68731.0,75793.0,68731.0,82915.0,68731.0,68731.0,74327.0,61219.0,101426.0,87848.0,77571.0,73664.0,87848.0,73664.0,82915.0,82252.0,74327.0,87185.0,72638.0,73664.0,73664.0,67783.0,68731.0,69394.0,69394.0,82915.0,68731.0,69394.0,68731.0,67783.0,69394.0,74327.0,81304.0,74327.0,82252.0,80119.0,87848.0,69394.0,73664.0,73664.0,69394.0,69394.0,68731.0,85468.0,82252.0,73301.0,82915.0,74327.0,73664.0,74327.0,74327.0,73664.0,73664.0,68731.0,82252.0,82252.0,69394.0,61992.0,84026.0,69395.0,68731.0,73664.0,82252.0,72638.0,82915.0,82252.0,68731.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0
Runtime,197.05374264717102,143.58864521980286,211.4114179611206,207.7979393005371,142.4935381412506,141.17453742027283,203.85135459899902,140.6971309185028,104.0304548740387,147.08332467079163,164.01323580741882,165.8575963973999,230.73236298561096,236.74822187423706,144.77728271484375,162.2412097454071,162.9528956413269,165.05375242233276,176.79048919677734,228.4590184688568,163.42351388931274,170.65755987167358,164.70223426818848,166.06614589691162,160.15144276618958,168.3001992702484,171.29311871528625,166.46797633171082,135.34779620170593,161.65351915359497,234.5038719177246,156.8690207004547,227.10276198387146,165.9406702518463,192.6454565525055,159.05178594589233,235.02685475349426,165.35343313217163,172.29435920715332,165.03136467933655,159.303142786026,258.71919536590576,234.7075216770172,163.81258058547974,164.93800258636475,224.05885577201843,164.2929491996765,234.0242302417755,228.94308161735535,157.91875743865967,222.66844534873962,169.3904492855072,166.44117212295532,167.85685181617737,165.7850902080536,173.70088529586792,168.33629417419434,167.32499432563782,239.11782360076904,165.64722776412964,165.1249279975891,172.88159227371216,164.9914801120758,169.67227745056152,170.40017557144165,238.76902651786804,170.73782348632812,238.30614113807678,191.70408964157104,225.85774493217468,163.55432629585266,166.2477126121521,157.99201321601868,160.44482898712158,161.73820328712463,161.37286162376404,236.4070122241974,228.8948826789856,156.92947030067444,220.7721836566925,157.36099648475647,163.3766210079193,159.9807071685791,160.50463557243347,161.51284337043762,165.76386165618896,163.32938742637634,223.98942637443542,227.93582105636597,163.97382879257202,128.77240777015686,190.8175287246704,160.85901856422424,160.06414079666138,163.42323517799377,205.52028131484985,140.62664532661438,168.8872573375702,156.38263702392578,120.68619108200073
