,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,96909.0,65789.0,90498.0,94474.0,56560.0,56396.0,87069.0,77558.0,56562.0,87650.0,94806.0,81152.0,58553.0,80542.0,96075.0,81872.0,51612.0,82091.0,41198.0,50642.0,48269.0,96631.0,79242.0,84248.0,78555.0,93310.0,56784.0,80708.0,93313.0,89891.0,83032.0,51363.0,78444.0,80214.0,40576.0,84525.0,81097.0,92093.0,55732.0,82036.0,71694.0,55566.0,54621.0,86793.0,54071.0,50092.0,87955.0,58222.0,88563.0,62968.0,88838.0,81040.0,93585.0,54573.0,81871.0,83751.0,84802.0,65511.0,89173.0,94309.0,53463.0,53907.0,54683.0,48156.0,45555.0,81762.0,53851.0,79770.0,82094.0,82478.0,79991.0,78442.0,56396.0,95135.0,86958.0,100059.0,83513.0,92370.0,34836.0,89531.0,85409.0,95635.0,84417.0,84525.0,54403.0,37657.0,87786.0,62027.0,82144.0,93644.0,56341.0,78331.0,84498.0,55066.0,39261.0,84526.0,64186.0,54238.0,82256.0,50809.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,12.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,11.0,10.0,12.0,11.0,11.0,12.0,11.0
Runtime,0.17069697380065918,0.12410593032836914,0.07498812675476074,0.059916019439697266,0.08302593231201172,0.04558920860290527,0.12210273742675781,0.09193754196166992,0.09830760955810547,0.08251357078552246,0.05943775177001953,0.07752060890197754,0.08802342414855957,0.10370063781738281,0.12569355964660645,0.0568997859954834,0.07162976264953613,0.11342930793762207,0.07549285888671875,0.07512784004211426,0.0839083194732666,0.11637210845947266,0.0913994312286377,0.06997489929199219,0.14000391960144043,0.0579991340637207,0.1040349006652832,0.07769775390625,0.11110615730285645,0.07038235664367676,0.10279273986816406,0.09600400924682617,0.06816434860229492,0.05007648468017578,0.04075932502746582,0.12120485305786133,0.060884952545166016,0.13588547706604004,0.08164858818054199,0.053139686584472656,0.08075809478759766,0.04295611381530762,0.05808663368225098,0.1065680980682373,0.05779743194580078,0.07395029067993164,0.05703926086425781,0.05864095687866211,0.11749553680419922,0.11199951171875,0.08773398399353027,0.053131103515625,0.10548686981201172,0.07926607131958008,0.10089564323425293,0.08605360984802246,0.05899357795715332,0.07921719551086426,0.06009531021118164,0.0720674991607666,0.07661676406860352,0.04640030860900879,0.09442424774169922,0.06712579727172852,0.08764433860778809,0.09278559684753418,0.05853128433227539,0.08866333961486816,0.08680129051208496,0.09110641479492188,0.059256792068481445,0.12827563285827637,0.07914304733276367,0.10134625434875488,0.06438803672790527,0.09563946723937988,0.09607529640197754,0.11955833435058594,0.05227231979370117,0.10101485252380371,0.09875369071960449,0.10359358787536621,0.13127779960632324,0.1179952621459961,0.07177615165710449,0.03652215003967285,0.08919191360473633,0.09182024002075195,0.1030585765838623,0.0744638442993164,0.07718729972839355,0.08094549179077148,0.10214447975158691,0.08901643753051758,0.06804132461547852,0.09823966026306152,0.10254979133605957,0.05900406837463379,0.07180643081665039,0.05047321319580078
