,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,98645.0,84815.0,98645.0,104501.0,79878.0,102329.0,74104.0,98645.0,103582.0,105027.0,98645.0,103582.0,84815.0,79878.0,104501.0,104501.0,110164.0,98645.0,103582.0,104501.0,93790.0,98645.0,98645.0,104501.0,84815.0,79878.0,98645.0,78551.0,107266.0,99564.0,109245.0,103582.0,84815.0,80797.0,84815.0,99564.0,104501.0,79878.0,80797.0,79878.0,80797.0,104501.0,92871.0,104501.0,79878.0,104501.0,98645.0,84815.0,103582.0,99564.0,98645.0,104501.0,103582.0,98645.0,104501.0,106070.0,109245.0,104501.0,80797.0,104501.0,109964.0,98645.0,98645.0,99564.0,79878.0,103637.0,99564.0,99564.0,104501.0,98645.0,103174.0,99564.0,98645.0,84815.0,99564.0,103582.0,85734.0,98645.0,120999.0,109245.0,98700.0,98645.0,98645.0,99564.0,99564.0,103582.0,98645.0,110164.0,103582.0,85734.0,74104.0,85734.0,103582.0,84815.0,98645.0,104501.0,98645.0,103582.0,79878.0,103582.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0
Runtime,282.94001865386963,182.31597590446472,282.56233048439026,267.0912983417511,180.61475825309753,277.96608901023865,158.24329209327698,280.16853404045105,265.74920177459717,328.5205821990967,273.87765884399414,264.55749011039734,185.3462347984314,178.23685145378113,271.07279443740845,261.2597110271454,280.6975212097168,280.0930256843567,266.49869441986084,266.82258796691895,230.04866313934326,274.4887595176697,279.4016993045807,267.9104905128479,189.43064284324646,192.40864515304565,275.5751121044159,194.206796169281,275.00426840782166,282.24976658821106,286.168842792511,265.2316086292267,183.00360465049744,184.1069371700287,182.83679819107056,279.72065472602844,263.9701073169708,186.11401224136353,179.36437821388245,184.6851303577423,179.94383454322815,269.6164276599884,229.9843144416809,263.91914463043213,183.27637219429016,268.80644273757935,280.4409508705139,189.18788743019104,268.2157356739044,275.95519948005676,274.5142195224762,263.4205415248871,265.92959451675415,274.88868618011475,269.7603209018707,281.2917423248291,269.75522232055664,260.64297366142273,181.8900032043457,255.7669095993042,297.11909651756287,243.22138381004333,232.85941863059998,231.04019975662231,163.4697597026825,204.73250150680542,210.65002751350403,187.9744007587433,171.3380205631256,166.8892686367035,146.61918878555298,142.73558568954468,153.63094186782837,96.06668424606323,148.20333671569824,112.08614373207092,90.77839016914368,126.18888449668884,196.6978702545166,133.39084720611572,129.97979545593262,126.71066308021545,146.07631254196167,135.05657052993774,135.065203666687,132.9197564125061,138.97523736953735,137.8081476688385,137.29045033454895,80.59710741043091,85.01755237579346,85.6410608291626,120.41100573539734,79.17094731330872,124.95678663253784,114.86207914352417,105.06554651260376,99.37047505378723,77.97965860366821,85.44771981239319
