,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,149365.0,101887.0,91446.0,169527.0,83001.0,94545.0,94056.0,86497.0,97461.0,153921.0,119749.0,94102.0,91535.0,69385.0,175896.0,100604.0,100957.0,96844.0,99145.0,151089.0,99233.0,170676.0,61687.0,120288.0,157682.0,85649.0,125942.0,94986.0,120811.0,151930.0,119438.0,136913.0,94014.0,96887.0,71322.0,97730.0,78134.0,97685.0,152813.0,97242.0,153966.0,70447.0,88797.0,99719.0,92421.0,113556.0,86845.0,98879.0,91668.0,112538.0,94014.0,170431.0,172800.0,69297.0,100472.0,120280.0,100781.0,161220.0,67130.0,118022.0,173286.0,96711.0,69165.0,90828.0,110279.0,67970.0,116696.0,140034.0,120103.0,114218.0,94101.0,96888.0,94102.0,92994.0,94057.0,148167.0,154716.0,114041.0,61781.0,96446.0,170322.0,95738.0,96048.0,98437.0,116519.0,96756.0,121207.0,71200.0,92022.0,152550.0,156418.0,153258.0,153788.0,115599.0,94455.0,92508.0,92772.0,53376.0,63236.0,114086.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,13.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,11.0,13.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,11.0,12.0,13.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0,12.0,13.0,11.0,12.0,13.0,12.0,11.0,12.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0
Runtime,0.07933425903320312,0.13353848457336426,0.05816841125488281,0.1827831268310547,0.056761741638183594,0.12489652633666992,0.1251521110534668,0.1053621768951416,0.12419581413269043,0.1598219871520996,0.10556745529174805,0.10840916633605957,0.10582208633422852,0.04738259315490723,0.1877760887145996,0.1168217658996582,0.07073307037353516,0.08253192901611328,0.05870628356933594,0.14183807373046875,0.07636427879333496,0.17470240592956543,0.06743335723876953,0.11586880683898926,0.15863633155822754,0.10455656051635742,0.1538863182067871,0.06570577621459961,0.14328575134277344,0.12261295318603516,0.13814115524291992,0.13495659828186035,0.14268875122070312,0.11625266075134277,0.06199502944946289,0.09097456932067871,0.09669375419616699,0.14642667770385742,0.15684843063354492,0.1114799976348877,0.15130019187927246,0.06439781188964844,0.1252613067626953,0.12148356437683105,0.136152982711792,0.13032937049865723,0.06947612762451172,0.0770714282989502,0.11034703254699707,0.13040375709533691,0.10622382164001465,0.11246871948242188,0.17099738121032715,0.09084749221801758,0.06183290481567383,0.13543033599853516,0.12063813209533691,0.16360116004943848,0.07924532890319824,0.1317136287689209,0.11227560043334961,0.11683273315429688,0.057955265045166016,0.09665155410766602,0.13001775741577148,0.06313395500183105,0.09555578231811523,0.1552269458770752,0.14312267303466797,0.06378626823425293,0.057559967041015625,0.1250627040863037,0.11996078491210938,0.12213826179504395,0.07313013076782227,0.14547967910766602,0.1549384593963623,0.0891730785369873,0.1076803207397461,0.08890962600708008,0.171311616897583,0.11917805671691895,0.06595563888549805,0.1143946647644043,0.13741683959960938,0.07102203369140625,0.17344999313354492,0.0956885814666748,0.10332798957824707,0.20565390586853027,0.16426753997802734,0.13846588134765625,0.09632611274719238,0.12089824676513672,0.05858111381530762,0.12381768226623535,0.13393282890319824,0.05028200149536133,0.054097652435302734,0.07982707023620605
