,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,79409.0,75262.0,126545.0,80200.0,75742.0,126545.0,79409.0,79409.0,126545.0,74471.0,127336.0,79409.0,80200.0,126545.0,177517.0,166008.0,127336.0,120765.0,131483.0,126545.0,131483.0,74471.0,131483.0,126545.0,74471.0,126545.0,79409.0,79409.0,126545.0,170946.0,132274.0,66322.0,80200.0,79409.0,132274.0,79409.0,75262.0,68691.0,79409.0,74471.0,132274.0,66633.0,132274.0,75262.0,75262.0,83221.0,79409.0,139505.0,126545.0,88159.0,75262.0,166008.0,75262.0,74471.0,132274.0,133116.0,126545.0,131483.0,79409.0,131483.0,132274.0,131483.0,74471.0,132274.0,79409.0,170946.0,127336.0,127336.0,80200.0,127336.0,131483.0,126545.0,68691.0,79409.0,79409.0,127336.0,171737.0,166008.0,171737.0,132274.0,131483.0,131483.0,74471.0,131483.0,120765.0,79409.0,131483.0,170946.0,139505.0,131483.0,79409.0,92114.0,131483.0,75262.0,132274.0,131483.0,68691.0,131483.0,139505.0,127336.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0
Runtime,150.54946112632751,153.90720319747925,207.33121633529663,158.19083666801453,158.79359245300293,210.59765481948853,164.63615489006042,156.12155199050903,202.78650164604187,158.9067506790161,205.20250511169434,156.11908650398254,155.1675250530243,207.2919180393219,217.63535618782043,183.88128209114075,212.36250138282776,164.23926091194153,199.18771767616272,204.7801854610443,202.1872787475586,158.46808457374573,203.19166445732117,207.27274441719055,156.63694739341736,210.37167096138,158.05102109909058,161.27321243286133,210.10934472084045,177.52583074569702,197.80054783821106,156.78163123130798,154.61189723014832,159.7237367630005,201.02062463760376,153.72584176063538,161.46956396102905,131.03795766830444,158.4265010356903,161.50836658477783,206.84020447731018,155.30506205558777,198.23146200180054,159.29928183555603,160.33299207687378,230.70683670043945,155.42682528495789,223.99939942359924,207.4930899143219,229.26523733139038,157.14187335968018,184.64659667015076,159.15373015403748,154.38476657867432,198.5802972316742,242.59720253944397,203.09527325630188,199.46225261688232,162.6753432750702,192.89065742492676,205.84253311157227,202.8643364906311,155.8193485736847,194.63905382156372,156.19806814193726,182.12489247322083,207.79768705368042,204.85959386825562,157.9367160797119,203.88881945610046,196.20536351203918,205.98126196861267,134.09028840065002,157.63848638534546,161.4308204650879,205.986985206604,183.31903648376465,189.83840656280518,173.56629705429077,200.16805696487427,198.60859298706055,193.00635170936584,154.34280514717102,196.3266351222992,163.71912121772766,145.94235587120056,166.40961480140686,152.7746410369873,169.12370896339417,157.7368483543396,124.96050977706909,194.25577402114868,169.5989146232605,121.55727338790894,163.65576577186584,174.09431624412537,121.80634379386902,172.37648510932922,179.77609634399414,180.04156279563904
