,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,13406.0,25483.0,15908.0,14551.0,24329.0,14320.0,15883.0,15352.0,8087.0,27753.0,11158.0,13406.0,11684.0,14372.0,25048.0,13637.0,26673.0,12853.0,13406.0,27778.0,25316.0,16846.0,11711.0,10880.0,27778.0,12171.0,15677.0,17444.0,26840.0,9780.0,11480.0,15465.0,25480.0,10148.0,14410.0,13585.0,24098.0,14595.0,12853.0,16136.0,14551.0,12484.0,37009.0,12126.0,12094.0,24048.0,25865.0,9444.0,10148.0,9743.0,15883.0,13435.0,25305.0,26649.0,26815.0,23059.0,26982.0,14137.0,23046.0,25048.0,25873.0,14372.0,26093.0,14320.0,13610.0,9059.0,12626.0,13398.0,15612.0,14141.0,25342.0,14166.0,13816.0,24366.0,13410.0,25735.0,13637.0,27246.0,13040.0,27388.0,12674.0,23929.0,12674.0,24391.0,15335.0,13613.0,15335.0,11342.0,11342.0,10737.0,27522.0,15327.0,25442.0,11895.0,12307.0,12305.0,7352.0,12399.0,12305.0,24378.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
Runtime,20.176909923553467,43.3835129737854,20.820616722106934,19.86436176300049,37.199991941452026,20.185683488845825,20.08466935157776,20.593869924545288,13.746477603912354,40.8683557510376,15.847902297973633,20.6971333026886,17.86593198776245,20.351262092590332,39.95143270492554,21.139726161956787,32.323944330215454,18.528741598129272,20.450081825256348,43.063332319259644,38.803619384765625,21.0797381401062,16.65943932533264,16.255548000335693,44.22859454154968,22.28670358657837,23.908241748809814,24.533962965011597,46.48769164085388,17.462522983551025,18.253646850585938,19.76346206665039,29.89073348045349,15.80480170249939,28.31548523902893,19.2776095867157,34.3552143573761,20.07887840270996,18.95559525489807,25.43717098236084,19.487488269805908,19.42136788368225,51.19082474708557,20.829248666763306,18.0281720161438,40.8037543296814,42.19484567642212,17.305294036865234,15.953388690948486,15.680761098861694,22.025057315826416,23.970938444137573,43.57353377342224,36.78936839103699,44.783945083618164,40.56077694892883,32.1046462059021,22.067906856536865,41.75469613075256,43.349231004714966,22.530197381973267,20.781510829925537,47.30680251121521,22.149474620819092,24.027350902557373,19.429571390151978,18.21306562423706,19.605427503585815,20.486609935760498,20.491015434265137,38.87861919403076,22.065083980560303,19.383641719818115,33.097243547439575,19.856518030166626,29.37537717819214,19.73308777809143,27.996681928634644,18.68564748764038,24.13258457183838,13.753679752349854,25.608134269714355,14.336894273757935,24.229050159454346,13.586466073989868,11.921814918518066,12.448853492736816,10.179917097091675,10.739052295684814,8.971947431564331,20.465306282043457,10.752777338027954,13.055811405181885,9.757153272628784,10.504412412643433,9.342411279678345,7.147013902664185,9.616053581237793,9.248250246047974,9.670587539672852
