,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,71754.0,72480.0,73038.0,77420.0,75647.0,70707.0,75835.0,68324.0,71751.0,56554.0,90871.0,97399.0,78269.0,91560.0,86620.0,71751.0,90871.0,76691.0,86620.0,71751.0,91560.0,71439.0,76691.0,80857.0,71751.0,77420.0,76691.0,77420.0,92289.0,86620.0,86620.0,68324.0,77420.0,72480.0,92289.0,71751.0,77420.0,77420.0,76691.0,64921.0,76691.0,82315.0,91560.0,92289.0,77420.0,76691.0,76691.0,91560.0,86620.0,92289.0,72483.0,86620.0,72483.0,92289.0,77420.0,71751.0,72480.0,86620.0,71751.0,86620.0,96540.0,86620.0,64921.0,86620.0,76376.0,71751.0,71751.0,71751.0,76691.0,87349.0,81586.0,71751.0,76691.0,76691.0,76691.0,87349.0,96657.0,86620.0,90142.0,92289.0,91560.0,72480.0,71751.0,72480.0,67595.0,71751.0,77420.0,86620.0,91560.0,86620.0,76691.0,83084.0,91560.0,76691.0,92289.0,92289.0,92289.0,95811.0,92289.0,77420.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0
Runtime,126.4516658782959,133.07511258125305,157.16669058799744,119.87672090530396,119.79742074012756,124.9681761264801,127.34564065933228,127.23098111152649,133.25083923339844,98.64000225067139,202.25228905677795,223.77769899368286,164.8712182044983,193.37080574035645,196.86417818069458,138.56047701835632,198.6548192501068,143.21657133102417,198.3078305721283,138.70191860198975,194.56877279281616,144.276428937912,139.60831236839294,141.9007170200348,139.0900161266327,137.90948796272278,142.43221831321716,138.94174599647522,192.77914834022522,201.8527569770813,203.86433053016663,139.28583598136902,137.9578354358673,141.66219305992126,190.88444590568542,146.2465033531189,142.0759253501892,148.01967334747314,138.10528683662415,123.79140329360962,141.28837060928345,143.0916850566864,198.75720047950745,196.38960480690002,138.82278895378113,140.5512421131134,139.37547421455383,193.675368309021,201.62660598754883,199.04029154777527,141.13498306274414,192.74387001991272,143.64100408554077,190.1930603981018,140.12380194664001,143.95418643951416,140.43403339385986,192.53571009635925,137.7325301170349,193.56747150421143,191.02769017219543,196.11112809181213,118.18084144592285,198.64387822151184,139.529541015625,140.9142460823059,141.74287509918213,137.92510604858398,136.723210811615,189.9103775024414,140.58386135101318,142.06971740722656,137.49918627738953,136.2287609577179,144.62464809417725,199.73722982406616,229.94905710220337,199.27546429634094,196.07885241508484,196.31330513954163,194.191419839859,141.58457970619202,138.48034572601318,139.48268842697144,137.1415913105011,139.07624411582947,140.58056473731995,200.8188979625702,190.68796801567078,192.99836683273315,141.73699474334717,156.0724494457245,189.06142473220825,136.89544486999512,186.75843501091003,187.82237315177917,180.9524667263031,168.82671666145325,160.39876174926758,125.48264861106873
