,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,30665.0,27567.0,41010.0,31903.0,39329.0,42159.0,29160.0,30753.0,26771.0,22260.0,47025.0,31548.0,48087.0,44992.0,34645.0,16069.0,45344.0,36590.0,32169.0,29336.0,43930.0,22261.0,49238.0,46847.0,33672.0,44372.0,25267.0,32081.0,51625.0,43488.0,28453.0,50123.0,30841.0,28896.0,52687.0,28010.0,48749.0,29160.0,27921.0,46408.0,35265.0,31902.0,45080.0,44549.0,37564.0,31815.0,29514.0,44637.0,47468.0,33053.0,47645.0,45080.0,47821.0,23318.0,23783.0,46671.0,45255.0,31018.0,45523.0,45787.0,34202.0,28276.0,26949.0,32080.0,23145.0,29425.0,20935.0,32698.0,45611.0,48530.0,41895.0,27834.0,48570.0,46142.0,43973.0,29338.0,45257.0,28011.0,46318.0,26506.0,27833.0,27126.0,33673.0,29513.0,29957.0,33053.0,42603.0,29692.0,31549.0,43665.0,25535.0,32523.0,43841.0,32078.0,43133.0,48795.0,21022.0,42337.0,41895.0,44992.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,10.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,11.0,9.0,11.0,11.0,11.0
Runtime,0.03484702110290527,0.06636190414428711,0.10409140586853027,0.06698346138000488,0.03836655616760254,0.039275169372558594,0.07489895820617676,0.07521843910217285,0.06361985206604004,0.0608525276184082,0.0571136474609375,0.06545901298522949,0.07635712623596191,0.11107015609741211,0.06442523002624512,0.0398862361907959,0.07040619850158691,0.05139636993408203,0.06204414367675781,0.06343889236450195,0.07556986808776855,0.04782438278198242,0.0741891860961914,0.07132768630981445,0.07167983055114746,0.0872030258178711,0.06364321708679199,0.04975628852844238,0.06362438201904297,0.06919074058532715,0.06414604187011719,0.08394885063171387,0.04620528221130371,0.06379008293151855,0.0905616283416748,0.04558968544006348,0.07298398017883301,0.06539297103881836,0.062413692474365234,0.08833837509155273,0.07839512825012207,0.06558513641357422,0.0608975887298584,0.0703895092010498,0.07404446601867676,0.07766008377075195,0.03656411170959473,0.08588409423828125,0.08308219909667969,0.06906723976135254,0.08900570869445801,0.07251739501953125,0.06473493576049805,0.060307979583740234,0.05019330978393555,0.07238006591796875,0.04060530662536621,0.07278847694396973,0.07021594047546387,0.0717000961303711,0.07086634635925293,0.06321048736572266,0.028734445571899414,0.06472992897033691,0.04727768898010254,0.05174612998962402,0.03463244438171387,0.04987049102783203,0.07888269424438477,0.050049781799316406,0.07001376152038574,0.04664111137390137,0.12229156494140625,0.05455517768859863,0.0696110725402832,0.0996546745300293,0.07954788208007812,0.03166460990905762,0.04700326919555664,0.0679776668548584,0.06352114677429199,0.059953927993774414,0.05162787437438965,0.056061744689941406,0.06424641609191895,0.06156420707702637,0.05603361129760742,0.042987823486328125,0.06942605972290039,0.07024669647216797,0.051309823989868164,0.0682990550994873,0.07109713554382324,0.06242227554321289,0.046015024185180664,0.041100263595581055,0.057126760482788086,0.061948299407958984,0.0697929859161377,0.044997453689575195
