,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Samples,55364.0,74271.0,79185.0,79023.0,68189.0,71644.0,72941.0,75726.0,79023.0,65581.0,86545.0,86545.0,72941.0,86545.0,92627.0,82480.0,88562.0,68189.0,82480.0,68189.0,85265.0,60329.0,75726.0,82480.0,72941.0,72941.0,74429.0,72941.0,82480.0,86545.0,79185.0,83968.0,89330.0,72941.0,86545.0,72941.0,72941.0,72941.0,72941.0,64284.0,72941.0,82480.0,86545.0,86545.0,69249.0,82480.0,72941.0,82480.0,86545.0,80064.0,65296.0,82480.0,72941.0,89330.0,79023.0,72941.0,88562.0,82480.0,86545.0,82480.0,82480.0,86545.0,86545.0,77279.0,86260.0,88562.0,79023.0,65581.0,68189.0,86545.0,86545.0,72941.0,65581.0,71644.0,68189.0,66911.0,88562.0,79185.0,82480.0,77166.0,86545.0,72941.0,72941.0,72941.0,63009.0,82480.0,86545.0,82480.0,85248.0,85248.0,72941.0,89330.0,86545.0,75726.0,64021.0,82480.0,82480.0,89330.0,86545.0,72941.0
Correctness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rounds,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0
Runtime,56.12317156791687,77.23623824119568,97.60628032684326,79.0802550315857,70.03525805473328,65.50880479812622,58.519208669662476,70.95617032051086,72.08160352706909,71.24665904045105,88.97640585899353,94.35465097427368,62.545599699020386,106.71434760093689,118.7569670677185,102.73212909698486,122.14879417419434,69.38314437866211,107.75026345252991,73.10698580741882,133.56755542755127,85.17656993865967,95.4577362537384,127.17650866508484,83.71448349952698,83.10222148895264,98.16434144973755,85.26641416549683,121.11010146141052,111.25562906265259,115.30790400505066,134.2352590560913,130.84983944892883,81.20886015892029,114.86544251441956,85.23159694671631,80.28697562217712,85.5439305305481,83.07044076919556,73.89419221878052,86.23499369621277,116.03137278556824,121.65366721153259,118.2749400138855,88.62835121154785,119.96512579917908,83.68781876564026,105.73682284355164,115.45473098754883,143.17568588256836,75.98262476921082,124.99883365631104,88.66096377372742,127.12601375579834,101.70577955245972,89.5103931427002,142.07782101631165,115.14110612869263,125.47510623931885,121.1269474029541,123.22400164604187,126.49542164802551,125.0389130115509,119.73273205757141,112.64519166946411,138.32351779937744,103.02042984962463,83.30889368057251,86.96004986763,124.18187713623047,120.84654974937439,84.38765478134155,80.72015166282654,82.64893555641174,78.03022408485413,99.0988142490387,139.00996088981628,124.19369840621948,116.405522108078,119.20011043548584,112.02559280395508,83.450932264328,86.55913853645325,84.34340453147888,83.55175971984863,114.39152407646179,122.9701156616211,122.78891372680664,110.98385453224182,112.10214018821716,83.22483086585999,123.14285898208618,115.51085162162781,98.31542706489563,83.09611582756042,91.8812620639801,76.7044928073883,75.22303032875061,65.14735722541809,52.446791648864746
